League,teamHome,teamAway,matchDate,location,stage,Scor
Liga 1,Sportul Studentesc,Otelul Galati,2010-07-03T14:30,Stadionul Regie,Etapa 1,0:1
Liga 1,Pandurii Târgu Jiu,Unirea Urziceni,2010-07-03T16:00,Stadionul Municipal Tudor Vladimirescu,Etapa 1,0:0
Liga 1,Rapid Bucuresti,FC Vaslui,2010-07-03T18:30,Stadionul Giulești-Valentin Stănescu,Etapa 1,2:0
Liga 1,FC U Craiova 1948,CFR Cluj,2010-07-04T16:00,Stadionul Ion Oblemenco,Etapa 1,0:0
Liga 1,Poli Timisoara,Gloria Bistrita,2010-07-04T18:30,Stadionul Dan Păltinișanu,Etapa 1,2:2
Liga 1,Universitatea Cluj,FCSB,2010-07-05T16:00,Stadionul Cetate,Etapa 1,1:2
Liga 1,Astra Giurgiu,Dinamo Bucuresti,2010-07-05T19:00,Stadionul Astra,Etapa 1,1:2
Liga 1,FCM Târgu Mureș,FC Brasov,2010-07-06T16:00,Stadionul Trans-Sil,Etapa 1,0:1
Liga 1,Victoria Branesti,Gaz Metan Medias,2010-07-06T18:30,Stadionul Victoria Brănești,Etapa 1,2:3
Liga 1,Otelul Galati,Pandurii Târgu Jiu,2010-07-30T16:00,Stadionul Oțelul,Etapa 2,2:0
Liga 1,FC Vaslui,FCM Târgu Mureș,2010-07-30T18:30,Stadionul Municipal Vaslui,Etapa 2,1:1
Liga 1,Gloria Bistrita,Astra Giurgiu,2010-07-01T16:00,Stadionul Gloria,Etapa 2,1:1
Liga 1,FCSB,FC U Craiova 1948,2010-07-01T18:00,Stadionul Steaua,Etapa 2,2:1
Liga 1,Unirea Urziceni,Rapid Bucuresti,2010-07-01T20:00,Stadionul Tineretului,Etapa 2,0:0
Liga 1,Gaz Metan Medias,Poli Timisoara,2010-08-01T15:00,Stadionul Gaz Metan,Etapa 2,2:2
Liga 1,FC Brasov,Universitatea Cluj,2010-08-01T17:00,Stadionul Silviu Ploeșteanu,Etapa 2,3:1
Liga 1,Dinamo Bucuresti,Sportul Studentesc,2010-08-01T19:00,Stadionul Dinamo,Etapa 2,5:3
Liga 1,CFR Cluj,Victoria Branesti,2010-08-02T18:30,Stadionul Dr. Constantin Rădulescu,Etapa 2,2:0
Liga 1,Universitatea Cluj,FC Vaslui,2010-08-06T16:00,Stadionul Cetate,Etapa 3,1:1
Liga 1,Rapid Bucuresti,Otelul Galati,2010-08-06T18:00,Stadionul Giulești-Valentin Stănescu,Etapa 3,0:0
Liga 1,Victoria Branesti,FC U Craiova 1948,2010-08-06T19:45,Stadionul Victoria Brănești,Etapa 3,1:0
Liga 1,FCM Târgu Mureș,Unirea Urziceni,2010-08-07T16:00,Stadionul Trans-Sil,Etapa 3,1:0
Liga 1,FC Brasov,FCSB,2010-08-07T19:00,Stadionul Silviu Ploeșteanu,Etapa 3,1:1
Liga 1,Astra Giurgiu,Gaz Metan Medias,2010-08-08T16:00,Stadionul Astra,Etapa 3,0:2
Liga 1,Poli Timisoara,CFR Cluj,2010-08-08T18:00,Stadionul Dan Păltinișanu,Etapa 3,3:2
Liga 1,Pandurii Târgu Jiu,Dinamo Bucuresti,2010-08-08T19:45,Stadionul Municipal Tudor Vladimirescu,Etapa 3,2:2
Liga 1,Sportul Studentesc,Gloria Bistrita,2010-08-09T16:00,Stadionul Regie,Etapa 3,4:2
Liga 1,CFR Cluj,Astra Giurgiu,2010-08-03T18:00,Stadionul Dr. Constantin Rădulescu,Etapa 4,2:2
Liga 1,Gloria Bistrita,Pandurii Târgu Jiu,2010-08-03T20:00,Stadionul Gloria,Etapa 4,3:0
Liga 1,Unirea Urziceni,Universitatea Cluj,2010-08-04T16:30,Stadionul Tineretului,Etapa 4,0:1
Liga 1,FC Vaslui,FC Brasov,2010-08-04T18:30,Stadionul Municipal Vaslui,Etapa 4,2:1
Liga 1,Gaz Metan Medias,Sportul Studentesc,2010-08-05T16:00,Stadionul Gaz Metan,Etapa 4,3:0
Liga 1,Dinamo Bucuresti,Rapid Bucuresti,2010-08-05T18:00,Stadionul Dinamo,Etapa 4,3:2
Liga 1,FC U Craiova 1948,Poli Timisoara,2010-08-05T20:00,Stadionul Ion Oblemenco,Etapa 4,1:1
Liga 1,Otelul Galati,FCM Târgu Mureș,2010-08-06T16:00,Stadionul Oțelul,Etapa 4,1:0
Liga 1,FCSB,Victoria Branesti,2010-08-06T18:30,Stadionul Steaua,Etapa 4,2:1
Liga 1,Sportul Studentesc,CFR Cluj,2010-08-20T16:00,Stadionul Regie,Etapa 5,3:0
Liga 1,Rapid Bucuresti,Gloria Bistrita,2010-08-20T18:30,Stadionul Giulești-Valentin Stănescu,Etapa 5,2:0
Liga 1,FCM Târgu Mureș,Dinamo Bucuresti,2010-08-01T16:00,Stadionul Trans-Sil,Etapa 5,2:6
Liga 1,Astra Giurgiu,FC U Craiova 1948,2010-08-01T18:00,Stadionul Astra,Etapa 5,2:2
Liga 1,Pandurii Târgu Jiu,Gaz Metan Medias,2010-08-01T20:00,Stadionul Municipal Tudor Vladimirescu,Etapa 5,0:0
Liga 1,Universitatea Cluj,Otelul Galati,2010-08-02T16:00,Stadionul Cetate,Etapa 5,2:1
Liga 1,FC Vaslui,FCSB,2010-08-02T18:00,Stadionul Municipal Vaslui,Etapa 5,0:3
Liga 1,Poli Timisoara,Victoria Branesti,2010-08-02T20:00,Stadionul Dan Păltinișanu,Etapa 5,2:1
Liga 1,FC Brasov,Unirea Urziceni,2010-08-03T18:00,Stadionul Silviu Ploeșteanu,Etapa 5,1:1
Liga 1,Gaz Metan Medias,Rapid Bucuresti,2010-08-07T16:00,Stadionul Gaz Metan,Etapa 6,0:1
Liga 1,Dinamo Bucuresti,Universitatea Cluj,2010-08-07T18:30,Stadionul Dinamo,Etapa 6,3:4
Liga 1,FC U Craiova 1948,Sportul Studentesc,2010-08-08T17:00,Stadionul Ion Oblemenco,Etapa 6,1:0
Liga 1,CFR Cluj,Pandurii Târgu Jiu,2010-08-08T19:30,Stadionul Dr. Constantin Rădulescu,Etapa 6,2:1
Liga 1,Otelul Galati,FC Brasov,2010-08-09T16:00,Stadionul Oțelul,Etapa 6,1:0
Liga 1,FCSB,Poli Timisoara,2010-08-09T18:00,Stadionul Steaua,Etapa 6,1:1
Liga 1,Unirea Urziceni,FC Vaslui,2010-08-09T20:00,Stadionul Tineretului,Etapa 6,2:1
Liga 1,Gloria Bistrita,FCM Târgu Mureș,2010-08-30T18:00,Stadionul Gloria,Etapa 6,3:1
Liga 1,Victoria Branesti,Astra Giurgiu,2010-08-30T20:00,Stadionul Victoria Brănești,Etapa 6,1:1
Liga 1,Universitatea Cluj,Gloria Bistrita,2010-09-10T15:00,Stadionul Cetate,Etapa 7,2:1
Liga 1,Rapid Bucuresti,CFR Cluj,2010-09-10T18:30,Stadionul Giulești-Valentin Stănescu,Etapa 7,2:0
Liga 1,Sportul Studentesc,Victoria Branesti,2010-09-01T15:00,Stadionul Regie,Etapa 7,2:2
Liga 1,Unirea Urziceni,FCSB,2010-09-01T18:30,Stadionul Tineretului,Etapa 7,1:0
